Energy,Spectral_spread,Spectral_rollof,MFCC2,MFCC3,Class
0.0356,0.166,0.399,-0.238,-1.69,Cry
0.0337,0.166,0.404,-0.3,-1.84,Cry
0.0337,0.162,0.306,-0.245,-1.83,Cry
0.034,0.165,0.344,-0.247,-1.87,Cry
0.035,0.165,0.4,-0.196,-1.86,Cry
0.0345,0.164,0.402,-0.189,-1.79,Cry
0.0377,0.165,0.399,-0.229,-1.67,Cry
0.0333,0.166,0.405,-0.288,-1.82,Cry
0.0339,0.164,0.317,-0.287,-1.87,Cry
0.0335,0.164,0.319,-0.257,-1.88,Cry
0.0344,0.165,0.398,-0.237,-1.89,Cry
0.0346,0.164,0.4,-0.24,-1.85,Cry
0.0363,0.165,0.398,-0.207,-1.62,Cry
0.0364,0.167,0.406,-0.29,-1.85,Cry
0.0362,0.164,0.342,-0.228,-1.82,Cry
0.0329,0.162,0.304,-0.233,-1.86,Cry
0.0326,0.165,0.397,-0.247,-1.89,Cry
0.0337,0.164,0.401,-0.223,-1.88,Cry
0.0379,0.166,0.396,-0.233,-1.59,Cry
0.036,0.168,0.408,-0.341,-1.86,Cry
0.0359,0.165,0.362,-0.235,-1.81,Cry
0.0328,0.162,0.301,-0.222,-1.85,Cry
0.0332,0.167,0.393,-0.224,-1.84,Cry
0.0338,0.165,0.404,-0.192,-1.83,Cry
0.0397,0.165,0.394,-0.234,-1.59,Cry
0.0362,0.167,0.41,-0.315,-1.81,Cry
0.0358,0.164,0.369,-0.244,-1.84,Cry
0.0312,0.161,0.296,-0.234,-1.84,Cry
0.0352,0.165,0.391,-0.233,-1.89,Cry
0.0335,0.164,0.404,-0.207,-1.89,Cry
0.0397,0.164,0.394,-0.234,-1.59,Cry
0.0338,0.167,0.41,-0.31,-1.83,Cry
0.0371,0.164,0.373,-0.194,-1.79,Cry
0.0328,0.16,0.288,-0.253,-1.86,Cry
0.0358,0.165,0.387,-0.187,-1.85,Cry
0.0328,0.164,0.406,-0.191,-1.87,Cry
0.0386,0.164,0.394,-0.257,-1.6,Cry
0.0338,0.167,0.41,-0.319,-1.84,Cry
0.0365,0.165,0.379,-0.262,-1.83,Cry
0.0327,0.159,0.28,-0.249,-1.85,Cry
0.0372,0.166,0.385,-0.187,-1.86,Cry
0.0305,0.165,0.408,-0.241,-1.93,Cry
0.0396,0.164,0.394,-0.274,-1.64,Cry
0.0304,0.167,0.408,-0.293,-1.82,Cry
0.0377,0.165,0.385,-0.247,-1.8,Cry
0.0323,0.158,0.277,-0.27,-1.87,Cry
0.0372,0.166,0.385,-0.172,-1.82,Cry
0.0303,0.164,0.409,-0.202,-1.88,Cry
0.0385,0.164,0.393,-0.247,-1.63,Cry
0.0316,0.167,0.406,-0.287,-1.78,Cry
0.0357,0.165,0.392,-0.255,-1.8,Cry
0.0317,0.158,0.268,-0.265,-1.86,Cry
0.0376,0.166,0.384,-0.22,-1.86,Cry
0.0299,0.164,0.41,-0.195,-1.91,Cry
0.0379,0.164,0.394,-0.233,-1.64,Cry
0.033,0.168,0.405,-0.28,-1.8,Cry
0.0353,0.166,0.396,-0.263,-1.82,Cry
0.0329,0.158,0.267,-0.263,-1.87,Cry
0.0358,0.167,0.383,-0.234,-1.87,Cry
0.0295,0.164,0.41,-0.21,-1.91,Cry
0.0397,0.164,0.395,-0.233,-1.66,Cry
0.0329,0.168,0.404,-0.324,-1.83,Cry
0.0356,0.166,0.398,-0.284,-1.84,Cry
0.0318,0.157,0.272,-0.267,-1.86,Cry
0.0374,0.166,0.382,-0.212,-1.86,Cry
0.0293,0.164,0.409,-0.207,-1.91,Cry
0.0391,0.164,0.395,-0.231,-1.65,Cry
0.035,0.166,0.404,-0.29,-1.79,Cry
0.0354,0.165,0.399,-0.256,-1.8,Cry
0.0307,0.156,0.279,-0.261,-1.86,Cry
0.0369,0.167,0.382,-0.222,-1.86,Cry
0.0302,0.165,0.409,-0.175,-1.86,Cry
0.0382,0.165,0.395,-0.284,-1.64,Cry
0.0349,0.166,0.401,-0.266,-1.78,Cry
0.0351,0.166,0.4,-0.292,-1.84,Cry
0.0316,0.157,0.283,-0.235,-1.84,Cry
0.0371,0.167,0.378,-0.236,-1.87,Cry
0.0324,0.166,0.405,-0.173,-1.86,Cry
0.0361,0.165,0.399,-0.269,-1.67,Cry
0.0362,0.166,0.399,-0.29,-1.77,Cry
0.0352,0.166,0.403,-0.292,-1.84,Cry
0.0313,0.159,0.288,-0.276,-1.87,Cry
0.0368,0.168,0.376,-0.245,-1.87,Cry
0.0341,0.166,0.404,-0.237,-1.86,Cry
0.0337,0.164,0.403,-0.23,-1.58,Cry
0.0368,0.166,0.399,-0.236,-1.74,Cry
0.0339,0.166,0.404,-0.266,-1.82,Cry
0.0322,0.159,0.295,-0.238,-1.85,Cry
0.0356,0.166,0.366,-0.213,-1.83,Cry
0.0337,0.165,0.404,-0.205,-1.89,Cry
0.0344,0.164,0.404,-0.253,-1.73,Cry
0.035,0.165,0.399,-0.277,-1.77,Cry
0.0343,0.166,0.403,-0.261,-1.8,Cry
0.033,0.161,0.295,-0.235,-1.85,Cry
0.0341,0.167,0.366,-0.221,-1.84,Cry
0.0336,0.165,0.404,-0.199,-1.9,Cry
0.0349,0.164,0.404,-0.235,-1.72,Cry
0.0359,0.166,0.399,-0.242,-1.76,Cry
0.0346,0.166,0.404,-0.272,-1.82,Cry
0.0327,0.16,0.296,-0.238,-1.84,Cry
0.0343,0.165,0.365,-0.23,-1.85,Cry
0.0345,0.165,0.404,-0.216,-1.91,Cry
0.0343,0.164,0.404,-0.247,-1.74,Cry
0.0373,0.165,0.399,-0.229,-1.75,Cry
0.0339,0.166,0.404,-0.299,-1.85,Cry
0.034,0.161,0.3,-0.231,-1.83,Cry
0.0327,0.166,0.361,-0.226,-1.86,Cry
0.0339,0.166,0.404,-0.188,-1.87,Cry
0.035,0.165,0.403,-0.258,-1.76,Cry
0.0363,0.167,0.4,-0.137,-1.62,Cry
0.0336,0.167,0.404,-0.262,-1.78,Cry
0.0344,0.162,0.303,-0.244,-1.84,Cry
0.0334,0.165,0.345,-0.229,-1.86,Cry
0.0342,0.165,0.401,-0.207,-1.86,Cry
0.0346,0.164,0.403,-0.221,-1.77,Cry
0.0362,0.165,0.399,-0.194,-1.65,Cry
0.0336,0.166,0.404,-0.284,-1.82,Cry
0.0356,0.164,0.312,-0.245,-1.83,Cry
0.0339,0.164,0.326,-0.229,-1.86,Cry
0.0336,0.165,0.399,-0.213,-1.87,Cry
0.0335,0.165,0.401,-0.207,-1.79,Cry
0.037,0.167,0.399,-0.203,-1.6,Cry
0.0324,0.167,0.405,-0.31,-1.85,Cry
0.0357,0.164,0.326,-0.273,-1.85,Cry
