ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.0637,0.0217,0.152,0.201,0.0412,-30.9,-1.27,0.0371,-0.0948,-0.379,0.575,0.000384,Cry
0.0848,0.0243,0.196,0.209,0.101,-30,-0.578,0.297,0.163,-0.112,0.491,0.000118,Cry
0.0769,0.0124,0.141,0.148,0.106,-29.7,1.23,0.28,0.246,0.206,0.246,4.42E-05,Cry
0.0929,0.0189,0.141,0.164,0.0744,-29.6,0.308,0.797,-0.268,0.342,-0.121,1.97E-05,Cry
0.153,0.00536,0.155,0.11,0.179,-34.1,-0.278,0.384,0.242,-0.285,0.209,5.12E-06,Cry
0.156,0.00491,0.153,0.108,0.183,-35.4,-0.675,0.568,0.268,-0.319,0.113,9.5E-06,Cry
0.161,0.00365,0.168,0.126,0.221,-33.1,-0.656,0.459,0.24,-0.386,0.161,5.46E-05,Cry
0.144,0.00643,0.153,0.111,0.176,-33.7,-0.923,0.353,0.294,-0.0866,0.169,4.03E-05,Cry
0.154,0.00451,0.147,0.101,0.17,-36.1,-1.17,0.62,0.519,-0.0707,0.132,3.21E-06,Cry
0.151,0.00534,0.2,0.148,0.289,-33.4,-0.294,1.08,0.723,-0.263,0.314,9.86E-06,Cry
0.148,0.0042,0.208,0.147,0.293,-32.9,-0.945,1.01,0.438,0.138,0.275,1.41E-05,Cry
0.146,0.00389,0.207,0.147,0.294,-33,-1.33,0.988,0.573,0.288,0.445,2.45E-05,Cry
0.13,0.00711,0.163,0.142,0.143,-30.4,-1.13,0.783,0.237,0.000295,0.279,1.33E-05,Cry
0.111,0.00772,0.171,0.14,0.153,-31.5,-1.37,0.519,0.237,-0.169,0.00428,0.000225,Cry
0.134,0.00755,0.0996,0.147,0.039,-26.9,-2.2,0.316,0.0495,-0.0655,0.226,0.000511,Cry
0.164,0.00612,0.201,0.148,0.29,-33,-0.288,0.814,0.312,0.0911,0.0207,8.55E-06,Cry
0.158,0.00804,0.202,0.149,0.291,-33.2,-0.33,0.915,0.308,0.114,-0.0138,5.44E-06,Cry
0.116,0.00971,0.171,0.139,0.176,-31.3,-0.902,0.773,0.379,-0.0364,0.0655,0.000178,Cry
0.114,0.00831,0.169,0.144,0.152,-30.5,-2.04,0.584,0.35,-0.422,0.0407,0.00022,Cry
0.131,0.0137,0.146,0.131,0.179,-27,-1.82,0.546,0.143,-0.00633,0.348,8.59E-05,Cry
0.0992,0.0143,0.152,0.135,0.131,-30.1,-0.982,0.171,0.14,-0.0387,-0.0636,0.000148,Cry
0.125,0.00656,0.115,0.141,0.0501,-28.2,-1.25,0.264,0.109,-0.0374,0.136,4.36E-05,Cry
0.13,0.00657,0.185,0.153,0.285,-30.9,-2.39,0.215,-0.0278,-0.0797,0.291,0.00018,Cry
0.117,0.00444,0.157,0.137,0.172,-29.1,-1.67,0.373,-0.0939,-0.342,0.076,0.00014,Cry
0.0805,0.00404,0.141,0.157,0.102,-30.4,-2.12,0.478,0.35,-0.245,0.216,8E-05,Cry
0.144,0.00729,0.192,0.148,0.285,-31.9,-0.831,1.05,0.648,-0.312,0.184,1.07E-05,Cry
0.0347,0.00725,0.104,0.101,0.119,-20.2,0.247,-1.45,-0.0348,0.384,-0.106,0.000819,Cry
0.0431,0.0109,0.116,0.0993,0.132,-20.6,-0.771,-1.66,-0.503,0.146,-0.138,0.000473,Cry
0.0338,0.0118,0.106,0.104,0.114,-19.9,-0.634,-1.68,-0.509,0.13,-0.192,0.000802,Cry
0.0372,0.0205,0.104,0.0983,0.128,-19.3,-0.781,-1.79,-0.512,0.148,-0.257,0.000594,Cry
0.0374,0.00837,0.103,0.0938,0.157,-20.6,-0.74,-1.83,-0.538,0.201,-0.154,0.000771,Cry
0.0354,0.012,0.102,0.0894,0.149,-20.4,-0.749,-1.85,-0.603,0.182,-0.179,6.96E-05,Cry
0.0464,0.012,0.122,0.0966,0.133,-21.3,-0.795,-1.81,-0.554,0.276,-0.123,0.000306,Cry
0.0523,0.0127,0.112,0.0871,0.136,-20.7,-0.402,-1.73,-0.787,0.0402,-0.236,0.000321,Cry
0.0275,0.0173,0.0913,0.0966,0.111,-19.3,-0.519,-1.9,-0.8,0.154,-0.0189,8.79E-05,Cry
0.0564,0.0119,0.116,0.094,0.156,-20.9,-0.198,-2.02,-0.939,0.226,0.157,0.000262,Cry
0.0718,0.0249,0.136,0.119,0.164,-23.2,-1.6,-0.163,-0.0938,-0.566,0.3,0.000176,Cry
0.0551,0.0157,0.112,0.143,0.0901,-22.9,-1.81,-0.402,-0.137,-0.545,0.358,9.66E-05,Cry
0.0721,0.0365,0.12,0.0978,0.15,-23.3,-1.65,-0.493,-0.267,-0.647,0.332,0.00013,Cry
0.0543,0.0242,0.0932,0.11,0.0846,-23.9,-1.8,-0.463,-0.177,-0.728,0.379,0.000125,Cry
0.0484,0.0127,0.137,0.138,0.14,-22.5,-1.21,-0.379,-0.243,-0.502,0.319,9.91E-05,Cry
0.0619,0.00798,0.181,0.201,0.134,-23,-1.11,-0.108,-0.286,-0.39,0.233,2.73E-05,Cry
0.0514,0.0061,0.165,0.221,0.0814,-23.5,-1.42,-0.443,-0.213,-0.458,0.261,0.000102,Cry
0.0652,0.0164,0.154,0.192,0.144,-21.4,0.0138,-0.445,-0.258,-0.464,-0.0852,0.000129,Cry
0.0538,0.00666,0.179,0.231,0.0697,-20.4,-0.195,-0.564,-0.292,-0.562,0.074,0.00117,Cry
0.0719,0.00959,0.105,0.0914,0.126,-30.3,-2.62,-1.27,-0.43,-0.576,-0.462,0.000134,Cry
0.062,0.00979,0.11,0.0809,0.143,-31.4,-2.6,-1.09,-0.523,-0.603,-0.297,5.32E-05,Cry
0.0452,0.0374,0.0764,0.0796,0.0418,-29.9,-2.66,-0.384,-0.198,-0.668,-0.118,0.000225,Cry
0.0778,0.0141,0.102,0.094,0.0757,-31.6,-1.76,0.189,-0.453,-0.667,-0.00349,1.95E-05,Cry
0.0603,0.0194,0.101,0.0809,0.113,-29.8,-1.77,-0.483,-0.577,-0.994,-0.502,1.62E-05,Cry
0.0547,0.0215,0.0857,0.0769,0.0767,-31.9,-1.16,0.279,0.243,-0.411,0.305,2.12E-05,Cry
0.0537,0.0107,0.0861,0.0788,0.0988,-29.1,-0.184,-0.0998,0.253,-0.977,0.116,3.45E-05,Cry
0.0484,0.0159,0.0847,0.0751,0.0961,-30.8,-0.0992,-0.0537,0.066,-1.02,-0.0393,6.73E-05,Cry
0.0548,0.0253,0.0945,0.0798,0.0988,-29.1,-1.01,-0.437,-0.899,-0.675,-0.524,7.12E-05,Cry
0.0747,0.0254,0.106,0.0896,0.117,-30.9,-1.68,-0.428,-0.52,-0.872,-0.372,0.000157,Cry
0.103,0.00919,0.101,0.101,0.109,-29.6,-1.38,-0.478,-0.577,-0.776,-0.305,6.32E-05,Cry
0.0449,0.0267,0.0687,0.0828,0.0346,-29.5,-1.56,0.319,-0.236,-0.579,-0.0509,7.61E-05,Cry
0.08,0.0132,0.108,0.095,0.121,-32.2,-1.7,0.336,0.0447,-0.446,0.259,9.36E-06,Cry
